Condition,Electrode,ITPC
GN,25,"[0.03880235055236014, 0.03689168570913483, 0.06405308161558124, 0.059037679766204575, 0.03952147584014829, 0.041392686635859745, 0.04658736219076684, 0.05244588583044362, 0.08179153639914011, 0.038984741740351485, 0.0394148766672234, 0.047027227814749016, 0.022758910236618572, 0.039825490177020154, 0.010714828800347355, 0.04795602457887445, 0.05203604367297634, 0.03820596684851258, 0.030627822304785782, 0.035570137759651184, 0.053280429463494774, 0.015512997929985542, 0.04402830497012297, 0.05862237815507403, 0.05271326880560774, 0.06108650884938648, 0.05717835884760754, 0.04228349708496441, 0.011454907807308696, 0.027142906505901118, 0.036270766534170634, 0.03425433822094618, 0.07750326829501596, 0.045718803268811045, 0.0383003318488943, 0.054582768016459504, 0.0807336186908856, 0.03814872431050197, 0.026239898759942995, 0.07634157655728899, 0.03260534399021109, 0.0287869044606257, 0.028052094179595935, 0.1848393571808494, 0.13491002146939263, 0.0556117456303915, 0.027452005468052782, 0.022332211471295122, 0.03933611151910534, 0.034620417983395935, 0.006989893067975908, 0.015250021034988332, 0.027876127500279884, 0.03108958549902052, 0.010885638206486609, 0.06251221758079242, 0.04544252432178029]"
GN,26,"[0.028103585123536983, 0.06447829792007943, 0.0411754383490295, 0.0680737382757554, 0.026033606375219842, 0.0332123339611551, 0.03208266807155226, 0.07103979746824417, 0.0485799727339339, 0.07144451781372198, 0.06638741065572085, 0.05836858114267924, 0.021910616895389576, 0.00796468033663691, 0.024315680277366147, 0.055922050967347925, 0.05098433418908732, 0.052132884537890216, 0.05463053652156648, 0.03165225755560667, 0.028971950659761506, 0.03012198118199082, 0.028559471600865444, 0.03712603418620429, 0.04140383031724628, 0.04887295011306913, 0.07149478139147677, 0.03087134495177082, 0.045266742869126304, 0.02235916935613254, 0.0411795194527843, 0.027559669271765588, 0.05406200629537976, 0.07929867981537286, 0.023409554937387028, 0.05231367948262302, 0.04890745192482433, 0.020936073812029807, 0.035257770589533666, 0.05804713398923463, 0.03915048624414255, 0.03034022548419282, 0.05116138287887071, 0.08504911707025888, 0.07910854327335885, 0.08664164771382622, 0.02200130030797575, 0.01214757332587247, 0.010373529256569066, 0.016902006724196457, 0.0374207265535057, 0.04715460566341625, 0.055843534028701576, 0.013277090963510034, 0.013383443773023437, 0.06578642068882795, 0.046090218564151804]"
GN,27,"[0.025351514489180656, 0.0561805948554182, 0.022862666663716443, 0.07069943984652086, 0.04624645592338772, 0.07028525500045177, 0.11414041503153954, 0.05408683791017643, 0.08126051731306327, 0.049877561917070774, 0.07437032725730758, 0.061561456139114866, 0.00860460690584706, 0.021227979485105884, 0.01786179971473285, 0.07919089456739485, 0.03544806350308581, 0.05765067880027737, 0.043055001852067225, 0.049486984392289185, 0.023132847659367062, 0.05486272406985352, 0.03993316077744537, 0.03859206052641563, 0.02560780191982124, 0.03003179631129803, 0.012215622377853456, 0.021092818071917936, 0.0751654778580632, 0.05673620300967554, 0.054209756457119396, 0.04407242283642642, 0.02902933118112799, 0.04612946359666212, 0.05888736272274456, 0.02484182941590323, 0.022282838381113876, 0.023832498695593615, 0.06588444424453818, 0.0350993811419329, 0.03810442817138736, 0.058143008981620364, 0.1383296060519003, 0.1685255436914756, 0.09358048185707273, 0.033539567623284416, 0.039950741853884, 0.054241589969834296, 0.04566814660782347, 0.042277762511466005, 0.04755244011103096, 0.038620158507640535, 0.04929665360171569, 0.005359164040066542, 0.030149250820751053, 0.07246194135203322, 0.03974985621469655]"
GN,28,"[0.02120488788111679, 0.07336970316233174, 0.02282707280383484, 0.035491545577152867, 0.017752088863490428, 0.054619749364156416, 0.125482663999029, 0.131079325601349, 0.06492372156034927, 0.08836665258379883, 0.06937225094020515, 0.05483703401107952, 0.0123265394656929, 0.005333901514654446, 0.031072294287584325, 0.03183894021549668, 0.05963679887286049, 0.06795796102715342, 0.11403634288341268, 0.1798479021817933, 0.11466845370450685, 0.05073826273704318, 0.03396331233368815, 0.014903346694187388, 0.013961219970717415, 0.03464667836701799, 0.04268061878890168, 0.06599988044170683, 0.07261643895980031, 0.021935029738961186, 0.06679079535442206, 0.06100388437144931, 0.048603873257998864, 0.04134983820740378, 0.06569837688678393, 0.0715741556615663, 0.0241445066751021, 0.02658654497200381, 0.03457108131489888, 0.0062762913614529065, 0.052663769614582696, 0.057566356003489735, 0.09138261433200819, 0.1654643136505194, 0.08149835874817972, 0.03619211979054296, 0.044290695112264265, 0.08520585426503255, 0.05885522800124751, 0.0492130085099069, 0.05280815027339932, 0.016964488937773893, 0.017150067212730387, 0.040022557500892675, 0.0667731220006492, 0.11174261300208106, 0.04229199580452688]"
GN,29,"[0.027805582370884808, 0.058252266528524964, 0.040151357111066606, 0.03320151223432676, 0.023302199180177237, 0.05070936627330167, 0.10119196115688305, 0.08949585921815749, 0.08081459122797675, 0.0544595108322152, 0.0666597080932049, 0.06095860773486315, 0.023422492832912305, 0.025883806023418873, 0.014331083679961932, 0.038290903121281826, 0.028019519566942347, 0.057929263423934174, 0.1320526818541005, 0.14766461354446492, 0.08081786941611271, 0.05206450754926057, 0.02572597538997123, 0.0038766307467548626, 0.018040791760730843, 0.049470943131909195, 0.07237771581562981, 0.04703703221561724, 0.014454179599088473, 0.049723085381987414, 0.06568754019259664, 0.0466202530434518, 0.025564097384986415, 0.06426078392394949, 0.026863683572619597, 0.02670479273256444, 0.014055473016784531, 0.02627704871857752, 0.04203687973473342, 0.03233457244846272, 0.008520562021354396, 0.061382089372113445, 0.09044496928912929, 0.11034627305889415, 0.06036120343099547, 0.004009471193724955, 0.01145637876078583, 0.06478167573566417, 0.054485601957898006, 0.0486598311155925, 0.02049118985502993, 0.041286976573479815, 0.03862158890215756, 0.03565463052482922, 0.04541970059782419, 0.056840249837960335, 0.031408167054091295]"
GN,30,"[0.022094190070159288, 0.03455684737718339, 0.01846126337143717, 0.049554028847565185, 0.004445045512968449, 0.056888207366486934, 0.10011660901876251, 0.07844012721654763, 0.08595980415222036, 0.04401737138075277, 0.08137189692864984, 0.05950348723605292, 0.021585391512176838, 0.03350607334332375, 0.027208344191708946, 0.049205228872015845, 0.04238081394605472, 0.05625318026461778, 0.11967710803728226, 0.14061763526194399, 0.07542457471280065, 0.052743611359311104, 0.04791022167040693, 0.028174472419122954, 0.00020078406763143351, 0.02109663578786623, 0.07161769362240988, 0.05237856212967856, 0.02576358527028733, 0.044352530256848904, 0.08544452415045246, 0.06434763236136466, 0.034106278103796926, 0.0848200613949172, 0.04701897230988936, 0.0469559575518129, 0.054324775419047296, 0.041569517350726025, 0.04720711924572389, 0.03213305212259103, 0.014130909953667344, 0.023741318178862096, 0.08748619139754851, 0.06672323943296958, 0.03020151951895755, 0.0007819864011448837, 0.04366859387024256, 0.05769814799778757, 0.06284322788662523, 0.028658001225954747, 0.011195200683677183, 0.04101189994933692, 0.03079436866624088, 0.023668182771787803, 0.048580021931080394, 0.049147697175762305, 0.03743733185286266]"
GN,31,"[0.04219737021283484, 0.04640526003990082, 0.03337990652343025, 0.05129113003790145, 0.01089811424908443, 0.04709294927762286, 0.11299898964407636, 0.08773382057091364, 0.08310021215287729, 0.04734253833757195, 0.07508167155526756, 0.057185097800398266, 0.019132183772448783, 0.018806513031425005, 0.01653095849059398, 0.047319420121963454, 0.03976664558572404, 0.06115332847255649, 0.13763002314718362, 0.13833626442611183, 0.06179702062033457, 0.037744419780091486, 0.0373329269209683, 0.01645494601006613, 0.02418966557150252, 0.03756354718475374, 0.05790030731108215, 0.06400908978990047, 0.03582656464214147, 0.02994324999684613, 0.06912607862753908, 0.04573673095345332, 0.043876392722235896, 0.06602209225945374, 0.018106441810735764, 0.03540498831158346, 0.04267793026502787, 0.03990658382406585, 0.06062808675267983, 0.027757038201270033, 0.019106884717083494, 0.035687278075938814, 0.06595430870237302, 0.06701166859458461, 0.06732497965398747, 0.035507416232235835, 0.05407532242150251, 0.04825139880088659, 0.07694052542039881, 0.025604637362047315, 0.006566241586680339, 0.011305320961648066, 0.016593436918755946, 0.015786269319949017, 0.03668343115000737, 0.06362351171511454, 0.02830551228325956]"
GN,32,"[0.049169691563392494, 0.06334849871268129, 0.04050373666837338, 0.06580083376365807, 0.013220137467864093, 0.023344269774716354, 0.12752827753385712, 0.10548917381654264, 0.05857183344763999, 0.08960464756226463, 0.083974088139525, 0.07813062467793594, 0.029328001318629695, 0.0559282243240013, 0.05547019894205104, 0.05205085678586618, 0.02275775474491061, 0.0774839245703535, 0.09066161227748015, 0.13017521302571894, 0.0667209535093534, 0.08557863203973058, 0.035350836112124855, 0.03460605714448193, 0.029453849609646237, 0.008938720509929601, 0.050462221801760083, 0.045988256283696474, 0.03641650101500498, 0.010059612890881482, 0.053699715011158326, 0.06324798338064615, 0.026590527790643668, 0.05901195811733383, 0.03413324049451547, 0.04037936036272979, 0.035573273747254455, 0.028486649020867796, 0.06913397227690388, 0.05378578280039219, 0.006595615897116646, 0.06382908003197256, 0.14625116159081458, 0.18484920754127016, 0.08809081144351712, 0.0290399684674542, 0.036023144511017395, 0.053434378115564056, 0.06175512672914646, 0.022150933111013713, 0.004657726719792169, 0.02518715079361271, 0.0044300671137110234, 0.009578562864939922, 0.05313922537326567, 0.08536909016855083, 0.046392528240055]"
GS,1,"[0.08734560766860267, 0.08937543511982093, 0.08327351168473525, 0.04975776334150704, 0.04598016584092247, 0.06093945568462143, 0.034831260290531275, 0.040042459486286375, 0.02201236572242841, 0.065580755883585, 0.04170138391499287, 0.01441850690816662, 0.006823172534624863, 0.055496553156646575, 0.05346074190659843, 0.053001654428383595, 0.03866202109838767, 0.08794594686511406, 0.048856677299753924, 0.024118926477410093, 0.0668118200525701, 0.07650062171853884, 0.062127415381240884, 0.03224059061390128, 0.047986159541950325, 0.04358503249579068, 0.03512436779361672, 0.042633840851371646, 0.09454845709641167, 0.0750425985178558, 0.07107922943397293, 0.022932048303346227, 0.0594555132577768, 0.06817729031061506, 0.053099546524978024, 0.02901408837088583, 0.020211934425221963, 0.02518763475215682, 0.035719003447516884, 0.049963117673073904, 0.04440043680825449, 0.05150670993651397, 0.018934917719354464, 0.09161092932968765, 0.051282446859024736, 0.056810585095600476, 0.045165799970421125, 0.0526737413112283, 0.0335505840655182, 0.09987616561205585, 0.05435229972290652, 0.002155252768145866, 0.02754114238265603, 0.0224429272146419, 0.04282358898858292, 0.008613931307271403, 0.024827824300832763]"
GS,2,"[0.0624970252609749, 0.06913628148053742, 0.06364670182382554, 0.002474755129594043, 0.05707050067305734, 0.001905182986159817, 0.010482778157878547, 0.05642878357586382, 0.0227456379225115, 0.04150743300503723, 0.04078006218446893, 0.037268076901989466, 0.009496065845422095, 0.03831545075309927, 0.0727607053796698, 0.02361030999186413, 0.03438590761777079, 0.09173659548986535, 0.0459528543241246, 0.033304597920923204, 0.04004160443932203, 0.11084067951936814, 0.052939727980510214, 0.03063964396055896, 0.04225161360316748, 0.03314437549543637, 0.029425353763708015, 0.002056771176989569, 0.09294084670253132, 0.09947219427788202, 0.09864467434322634, 0.060030647958512644, 0.0638948260729887, 0.06823819859880124, 0.04966286689805286, 0.021092155873079537, 0.00859036277353632, 0.029877955902293918, 0.03546098214607651, 0.04126966522785654, 0.05764518019181391, 0.09532660163614551, 0.014469182952343177, 0.08024423143960273, 0.03951610223632824, 0.061020564147056554, 0.02603236207280457, 0.036382377219813584, 0.050836827025278544, 0.08628453424003366, 0.04228605684241565, 0.04268441291923534, 0.05455048308332786, 0.04814631412014346, 0.0388379708498664, 0.009440749051035627, 0.020612296116264524]"
GS,3,"[0.07111619980224111, 0.0604973817396173, 0.08367009832320493, 0.057161457370260446, 0.05799406653814212, 0.04838063460043789, 0.05152773303423349, 0.039254591742999695, 0.03419661740425112, 0.03183520694956905, 0.03791963770642286, 0.050017765101829245, 0.06295463697013187, 0.07577986535910766, 0.0877348415407592, 0.0634019661135234, 0.07438993358442703, 0.08722250153683796, 0.03461686002510289, 0.04239389354786945, 0.08198299553565555, 0.07242443216568695, 0.05531194861196103, 0.025353295217540983, 0.01537079959823719, 0.04173755236968911, 0.0374296185058266, 0.04135458277222396, 0.07637335534110791, 0.025314442556303232, 0.019156368632970055, 0.030958580583130436, 0.08452440391026347, 0.0901183209390428, 0.03950519674766783, 0.031259852642209845, 0.034795948029769035, 0.042786557174709625, 0.029248641696820565, 0.051343388020987576, 0.029621032268751353, 0.02055500521395794, 0.05567580421482276, 0.08269277320049352, 0.012730839040132032, 0.038343436925195346, 0.05391209077577567, 0.05207877611765259, 0.06530561383331769, 0.061711295574851374, 0.025962995689646287, 0.03401576597196101, 0.07948944591829304, 0.08708189174695434, 0.08061028277009682, 0.08642033924810384, 0.027717669533950242]"
GS,4,"[0.0578753832460366, 0.06870184098939182, 0.045665132134503406, 0.01800074913016494, 0.054735878258890626, 0.0340792990947689, 0.03091158208709418, 0.08555176929086392, 0.028547395391237202, 0.0813528775518262, 0.028123572134257813, 0.0357515266261036, 0.047100503728030235, 0.02702774280401732, 0.0632569759374391, 0.0489424955073953, 0.03418474115938632, 0.048282709052775624, 0.05526904422154699, 0.08020950778822218, 0.11876973895975354, 0.09243327661187917, 0.05935951790312009, 0.027380930410157104, 0.05436010256431834, 0.04327996535984709, 0.029170935435671327, 0.049330089976215505, 0.06606450507685335, 0.021734036677177576, 0.05762552757912699, 0.03698727021062148, 0.05725197682953479, 0.06440825922383922, 0.029587666661946815, 0.03970369528517213, 0.023624092734281097, 0.011090608414882826, 0.008490963368875117, 0.025978280532178592, 0.04392615802616153, 0.013517640651833309, 0.13176434180034532, 0.289316875872798, 0.1308639341263395, 0.047696981450073006, 0.04371614869752199, 0.05785393886527753, 0.08362652841069576, 0.10290747226451163, 0.052167694862476195, 0.072704963572516, 0.07755161313239407, 0.06642146291996201, 0.04947301316956652, 0.054246339929305595, 0.0880089173780561]"
GS,5,"[0.02664043678128841, 0.05240421249548845, 0.019816804867585868, 0.020451855571458, 0.040789052202139756, 0.05899682257940392, 0.015600531787963964, 0.06472642001942558, 0.019594292550032904, 0.08180226911327888, 0.05612194221473265, 0.07164413993073745, 0.08931222979141726, 0.04660024636798389, 0.05450773837651276, 0.05218027106945816, 0.024370236599169818, 0.08328439138987977, 0.05523213355102812, 0.0795784973130676, 0.08187699521538673, 0.08449987193271129, 0.04009450368093067, 0.04605186215838409, 0.0578521387666414, 0.024522279799641732, 0.006657111269032963, 0.039109317254811725, 0.059885587441434886, 0.08251408647205045, 0.07513987600185104, 0.07599771259809936, 0.05691966652611828, 0.09105063606067186, 0.02649610290535441, 0.03474949345675449, 0.009879895819218061, 0.028415090630405843, 0.022598304325349153, 0.012239309677987847, 0.05918464337630095, 0.05114334828154754, 0.21181242276417808, 0.381255807510492, 0.206306991409984, 0.03712167179367949, 0.08080571140146733, 0.0250917599509499, 0.0853245006416827, 0.11296487627495536, 0.027913623336206367, 0.05406707848259581, 0.054763414267911384, 0.014021107771912535, 0.08377999033662016, 0.1569552959872618, 0.10911124463999795]"
GS,6,"[0.0430583861393046, 0.030201044463443648, 0.023079461889840287, 0.022710645408813485, 0.06854890851544396, 0.06195960961237421, 0.05548391111778588, 0.06276735868843183, 0.04520585015921112, 0.054775201483769076, 0.03372717896979059, 0.012677162340846336, 0.008311819108926807, 0.04590549846200558, 0.07801978183407648, 0.0528241856942322, 0.029377543617484778, 0.10772920291916645, 0.035347581369175644, 0.06816098292111925, 0.06975343966924641, 0.05992270065257577, 0.026097150904263552, 0.06057854428329878, 0.028148846594408593, 0.03441472388840171, 0.010590547306583483, 0.018283698174858476, 0.049680388297231655, 0.08249517080788543, 0.08273327548710957, 0.09664083296914994, 0.07423869197595548, 0.06600249332058296, 0.04292674885579628, 0.04129030519187164, 0.0509711751487217, 0.03813708183936031, 0.05003895984212972, 0.05113358748554115, 0.05106639554890183, 0.07412863563840602, 0.12881947260542861, 0.29084430407478973, 0.15778883858670306, 0.07300237605901372, 0.05558930101616549, 0.04568328508214207, 0.06654850782098012, 0.06451034832672878, 0.03605086144358255, 0.029563488145888724, 0.06316242215651194, 0.03570191276325161, 0.05164696926965758, 0.1048527357808099, 0.0860204526376586]"
GS,7,"[0.10772952970439846, 0.036832471665400005, 0.04535914858843073, 0.03805411446254332, 0.010406470153238354, 0.03942390437253969, 0.05720160900987497, 0.0687934087902363, 0.06924238996812539, 0.07143473322637377, 0.04395237553436741, 0.007285689951834453, 0.02881445629496089, 0.03539193925899131, 0.03781206723483462, 0.03331672680172173, 0.04386263833327227, 0.11764192051339985, 0.08131985064156286, 0.09861613463258086, 0.05759723767812784, 0.04236603132949699, 0.04702148293390561, 0.04647382891937816, 0.020135803226529372, 0.0333936485491796, 0.02499633112419403, 0.03626820895531842, 0.04196956085191618, 0.07070761627671114, 0.08574368328439387, 0.03139184426065159, 0.07233473678303026, 0.03745805934603799, 0.017724077536353983, 0.062210017640410356, 0.0530132433138163, 0.01028700735770995, 0.04553865597198749, 0.03561012013021697, 0.07804533668951541, 0.07954482290896767, 0.0738643791274644, 0.06965560309350546, 0.05657708455873753, 0.041700917787965704, 0.00948200023991948, 0.061654359123624006, 0.049727960407471974, 0.030436844905877076, 0.0394735238887053, 0.019490035246855664, 0.04390340339133504, 0.047686717167910155, 0.06732267003548387, 0.06575888707659096, 0.06223136206582039]"
GS,8,"[0.028979259630237286, 0.04753157368605254, 0.059268038043925296, 0.03383285871371275, 0.052345793667341406, 0.015457394840704769, 0.029947169160386228, 0.06618467835967502, 0.04455480536136132, 0.03671290509178156, 0.02828934989906242, 0.03232685675530507, 0.045377047452109964, 0.024841707308339803, 0.04865360664011419, 0.028119933832293675, 0.05022626742055695, 0.06641559379833352, 0.049257473879665975, 0.07163399908204539, 0.11343578517423653, 0.06944497877724347, 0.04403403784224981, 0.01639288041310213, 0.013575819267232498, 0.03698893262673042, 0.02583757115833323, 0.0331606303943234, 0.0310696734919573, 0.05663886351940358, 0.04894975832499606, 0.0540144245423451, 0.09403789240603368, 0.056655042853314276, 0.006580671409656652, 0.03388331245605631, 0.018068431018790236, 0.01768547264636588, 0.011795246171681355, 0.03191894376639428, 0.03143961098969084, 0.02644843377683783, 0.0988105307162868, 0.08717707854660753, 0.05303952092087824, 0.04176424009037837, 0.03987321980395545, 0.07033545502961597, 0.05264449851867619, 0.06699197683313449, 0.027637867706948628, 0.05037638493299306, 0.0792917652277678, 0.08136350057101348, 0.08042834373804786, 0.06159588758579037, 0.05162297767306916]"
GS,9,"[0.06484739299039499, 0.012057010716380788, 0.05936284651215664, 0.0143974867316118, 0.043303621459010996, 0.02657470746046861, 0.06488490908659572, 0.10346662911560713, 0.10123799693231299, 0.07817557756462047, 0.038469419465443445, 0.06126500282447083, 0.0984364768820133, 0.03425241630389325, 0.03452854346296012, 0.017428527283902644, 0.018079130513514206, 0.027873563760490844, 0.11072225504529405, 0.11815687752929073, 0.11602098197359904, 0.03628546720816844, 0.03584888950348955, 0.04524795032794708, 0.06027468215020699, 0.057503536100685995, 0.03322144038424975, 0.07513277712918347, 0.052978334624390916, 0.07024346880575806, 0.05044704858227321, 0.0923399880589932, 0.07243830653854305, 0.04306713258228104, 0.007870254069166667, 0.07741083810272623, 0.05024730388143813, 0.0342601190298207, 0.058451372727449026, 0.04885178174222306, 0.05761041421201429, 0.040227667300569064, 0.32956507850923417, 0.49799620491519386, 0.27734901806433987, 0.053616689813118984, 0.06929005495432045, 0.04169758803523175, 0.07865490486006206, 0.08395870021456499, 0.056737016609223145, 0.013396411136786985, 0.04072000245077035, 0.028975156904946727, 0.053764593759924796, 0.15748165995378213, 0.08548317128062896]"
GS,10,"[0.041228521181619265, 0.010948843408271059, 0.04532919731280511, 0.03967636546536049, 0.019507667171445787, 0.04648259612803836, 0.05046288146439348, 0.05620209062912777, 0.06852304109858337, 0.063965818590752, 0.04877550429713343, 0.059478666057277176, 0.06979245857442168, 0.04424355100366782, 0.05670479457277935, 0.005705982444628424, 0.03241462095368184, 0.090666558166417, 0.08058509408521955, 0.08068969021101055, 0.10576815608499007, 0.06533059906548924, 0.017069091039042333, 0.03782891047607424, 0.06205619725913042, 0.07332030084050434, 0.07396254299021195, 0.053462856656684224, 0.042519887018705765, 0.0669079488825043, 0.09758283756429546, 0.11727849507350706, 0.06791488273115935, 0.07258469561969703, 0.013687860121498615, 0.05626764734935906, 0.05745804907642655, 0.05469741984834077, 0.04151533480125266, 0.01361152335452216, 0.04129792811594399, 0.06312513448836217, 0.3330182406020745, 0.5040421460399654, 0.30805760317563885, 0.07326100437098472, 0.06800648752501348, 0.02988032826277809, 0.0607851303006365, 0.05867654131289449, 0.03456234214886046, 0.03653854278773454, 0.018979501721671774, 0.04437055805659824, 0.11139752664193811, 0.21624896433351642, 0.1424966616747735]"
GS,11,"[0.06700465527696775, 0.0207634655281565, 0.006365731487139942, 0.06403162792757029, 0.07812855175709327, 0.0875990080713756, 0.08915551641314853, 0.041592358796601135, 0.07592763668809377, 0.05659805970814237, 0.02016609619671726, 0.023189421877809414, 0.01384791695519486, 0.054230642165707076, 0.035246762250446186, 0.01213387685196719, 0.09670589520732294, 0.1240005815194256, 0.0954939589475716, 0.13004984083297882, 0.11069633729243515, 0.06704068207754552, 0.09500059672631096, 0.0572133409289123, 0.014829290772328415, 0.0076979203934358755, 0.031474655079449715, 0.03792515301219646, 0.038496950737482855, 0.04343054688870657, 0.05461954982672709, 0.04500684436664243, 0.0705310182416157, 0.09042856548790422, 0.03157531304873964, 0.042405295595250365, 0.06062484552496323, 0.04428954898415745, 0.03837742455791048, 0.03777365879248884, 0.031203565238833504, 0.09680972408308061, 0.10564451627871606, 0.17858431701120692, 0.11282790168582219, 0.04166962555388846, 0.013850429119350936, 0.05867565122176867, 0.026348821858718854, 0.05137568937991171, 0.021023093829605745, 0.04322916722844343, 0.03700057087473547, 0.010571699823741463, 0.0737007824126602, 0.12279719134228372, 0.10208272319521582]"
GS,12,"[0.019568067763003596, 0.027033028089202486, 0.07318441388047785, 0.03447635532951268, 0.05972837325573952, 0.028512628643951952, 0.03709605880759075, 0.03963300057435737, 0.06631397094744489, 0.07618706608773021, 0.05721452861430716, 0.07169564384815136, 0.07269775971122495, 0.05958442721709894, 0.043219890346742104, 0.021016955320271872, 0.029625982077360977, 0.05952034154914174, 0.05540725980184113, 0.062319334504711395, 0.06510540745278612, 0.033575334417253265, 0.015329083667556866, 0.07926280307042059, 0.05737740474583262, 0.033737928325917765, 0.046204080138270355, 0.057464717244432535, 0.006223769046372864, 0.0660035954694718, 0.08297395764174653, 0.10051136617541516, 0.07738309949767325, 0.06312757997111242, 0.06486852190205372, 0.07954330011861241, 0.09177239691721086, 0.09339500588547753, 0.042219853340180385, 0.05342577253062425, 0.017818006409967505, 0.001792142065092723, 0.1593441566819288, 0.3295292761232233, 0.18854604699026742, 0.04614060766292559, 0.024180927044465082, 0.025138069777114597, 0.03665099785781082, 0.024069581404108677, 0.033481710742604434, 0.053349224882148605, 0.04594434217883316, 0.03892609235783421, 0.08664654246147022, 0.12896587325802, 0.03214897504442298]"
GS,13,"[0.08904311113541902, 0.03820343526393, 0.06835498396342889, 0.034141570438945175, 0.014482624708815041, 0.03144842610975356, 0.06736370198055355, 0.09963416353546092, 0.04407570957005537, 0.0403895376705547, 0.06006297806587121, 0.0927832095996309, 0.06655074465266846, 0.04230373875676391, 0.023819352312260813, 0.04190986346420399, 0.04003201956670985, 0.07856296765242873, 0.05743086809805779, 0.07691699396330397, 0.08820235986407579, 0.031820973720141206, 0.015807921581064085, 0.01844165273483974, 0.0570409391406817, 0.07846465933924399, 0.07075600488845338, 0.021802258999093865, 0.042730124155036485, 0.06977135202115371, 0.03108794023523822, 0.03352502484048873, 0.032672852516501545, 0.026131526788629077, 0.06130535019451304, 0.03915433744897842, 0.05012989573824943, 0.04756249585326159, 0.1118701192671978, 0.07821248615292657, 0.06734678195943522, 0.049867201760180724, 0.1825613802243134, 0.28158969006324586, 0.13398373147601444, 0.0635633152415732, 0.040636440383756786, 0.014086980062646989, 0.030784398996822653, 0.04143710615699996, 0.05898789070502716, 0.06000208797602897, 0.015621027588153922, 0.055400603681930956, 0.04075590335235489, 0.09398188898792204, 0.08160713238398991]"
GS,14,"[0.09116590046709112, 0.0474792906016191, 0.0951246513174946, 0.048078035909154174, 0.07268588108163311, 0.057078681691503506, 0.1001616662085982, 0.08686979821676807, 0.07773762413116712, 0.07188601909328328, 0.057710153524982884, 0.046480706842396816, 0.07607733085300465, 0.08164144734350356, 0.01893045961139782, 0.0664659143496236, 0.05400477243896786, 0.08301590319099772, 0.1378943436335703, 0.09364361439542192, 0.025688119323551816, 0.04385666554178861, 0.03716921424213464, 0.043725706466999976, 0.02426139174759358, 0.09068157959721596, 0.05616875812093097, 0.04755299823158121, 0.01113524969034883, 0.058816443205280296, 0.01872355065196512, 0.09760447241193672, 0.0987719243397873, 0.06747048818637906, 0.06670686146811838, 0.11543475211394671, 0.06751372128974155, 0.03602573141363963, 0.06240891854035586, 0.07712315304313407, 0.028926143707085673, 0.024556740910290416, 0.2974674857083446, 0.45976724327128915, 0.254570082526744, 0.08602367054264691, 0.06043930435229027, 0.0399195196856126, 0.03265382128300879, 0.02176354149227322, 0.03223385616448198, 0.02953732000097822, 0.0689801166602198, 0.07853771114669567, 0.15161863392424726, 0.21975647050116934, 0.06450073313572596]"
GS,15,"[0.05512277654753044, 0.0880852536523465, 0.0980786415660082, 0.060704791418079496, 0.04067926088451062, 0.047197221300261855, 0.07044239621846907, 0.025292704367961754, 0.021123648242818895, 0.034526210635609504, 0.035342862200434456, 0.03344967910236942, 0.08363107732372974, 0.08119335972227563, 0.07528670408321476, 0.09508193419701397, 0.0975188001452543, 0.11488030793776172, 0.06839501817408489, 0.13598418724804837, 0.0701440611595394, 0.057602936372799174, 0.0758803966722646, 0.048322005689509555, 0.018746759264930756, 0.03089058738810291, 0.037145905969032285, 0.037027329761944484, 0.03467763643476134, 0.008363309721437085, 0.054425830437631544, 0.09675167764078982, 0.12452487867136666, 0.09334411261716435, 0.04331208119070662, 0.05441199322524201, 0.09006561491734455, 0.08062992734821872, 0.042240416023184305, 0.010335621921157116, 0.03517339009890652, 0.020109086759982298, 0.18579472763412552, 0.2668103484302286, 0.1283106264901801, 0.05471586615818798, 0.025504609162365362, 0.03892609303586603, 0.0399065534740902, 0.005769560586283905, 0.05107367588169676, 0.04033484644572342, 0.041262932436137795, 0.06516009333135535, 0.11628349713470826, 0.15315581177292512, 0.06964669009072373]"
GS,16,"[0.07426250872018471, 0.0075847009950112355, 0.06105019136168591, 0.025116230237549907, 0.05380796557362212, 0.07457000834190218, 0.06882496043940399, 0.0728987010666417, 0.08367359935748123, 0.03303349496516916, 0.02382474665743078, 0.06723013410329154, 0.012521854034490099, 0.062030694596598955, 0.05232662333259155, 0.02169357988649573, 0.012561637445101376, 0.017537759757871463, 0.10536748671406992, 0.1487413057076725, 0.07025141724834777, 0.060007040345988354, 0.09935272505242765, 0.010622065869967084, 0.053480224188879724, 0.026625576874545316, 0.03190741415936299, 0.016902716565938974, 0.08046565884188416, 0.04140072556678864, 0.020014270589350222, 0.024161737911345262, 0.07568982240933131, 0.08133325799455754, 0.02438321149581127, 0.05335030506968498, 0.033000627788745636, 0.015480045131664254, 0.03324066933928623, 0.05687061419835915, 0.04527703990258645, 0.06057782763140354, 0.1863397135366719, 0.255403095211515, 0.1326240529173829, 0.04086120639048953, 0.05162002444790116, 0.012589451005819421, 0.037282672614236505, 0.07178384019403726, 0.006960146411127692, 0.013538765392502101, 0.020382881288997352, 0.0498314198839229, 0.06704509944205418, 0.1308095213381975, 0.08210981504189177]"
